iter	Passed	Remaining
0	173	86687
1	186	46345
2	198	32888
3	210	26153
4	223	22153
5	236	19433
6	248	17483
7	260	16009
8	271	14827
9	283	13904
10	296	13172
11	308	12529
12	320	11999
13	332	11537
14	344	11136
15	356	10774
16	364	10349
17	376	10083
18	388	9831
19	400	9618
20	413	9429
21	425	9252
22	438	9091
23	450	8935
24	462	8794
25	475	8671
26	488	8553
27	500	8430
28	512	8327
29	522	8187
30	535	8094
31	548	8015
32	561	7940
33	572	7853
34	585	7776
35	597	7701
36	607	7601
37	619	7534
38	632	7472
39	644	7409
40	656	7350
41	668	7289
42	680	7232
43	693	7186
44	705	7131
45	717	7085
46	729	7034
47	741	6985
48	753	6936
49	765	6890
50	778	6849
51	790	6810
52	803	6773
53	815	6736
54	828	6700
55	840	6666
56	853	6633
57	865	6596
58	878	6564
59	890	6530
60	902	6494
61	914	6461
62	926	6429
63	939	6400
64	952	6372
65	965	6346
66	978	6326
67	992	6306
68	1006	6290
69	1021	6277
70	1035	6259
71	1049	6241
72	1065	6232
73	1078	6210
74	1092	6191
75	1106	6175
76	1120	6153
77	1132	6128
78	1145	6104
79	1158	6082
80	1172	6064
81	1188	6056
82	1201	6038
83	1215	6019
84	1229	6002
85	1242	5979
86	1254	5954
87	1267	5932
88	1279	5908
89	1292	5886
90	1304	5863
91	1317	5844
92	1331	5825
93	1345	5812
94	1359	5794
95	1371	5772
96	1383	5749
97	1396	5728
98	1409	5709
99	1422	5688
100	1435	5669
101	1448	5650
102	1460	5630
103	1474	5614
104	1487	5596
105	1500	5577
106	1513	5559
107	1526	5540
108	1539	5522
109	1551	5502
110	1564	5482
111	1577	5463
112	1590	5447
113	1603	5429
114	1616	5410
115	1628	5389
116	1641	5371
117	1653	5353
118	1666	5336
119	1679	5317
120	1691	5298
121	1703	5279
122	1716	5259
123	1729	5243
124	1741	5225
125	1754	5207
126	1766	5188
127	1779	5170
128	1791	5151
129	1803	5133
130	1816	5117
131	1829	5099
132	1841	5080
133	1853	5062
134	1866	5045
135	1877	5026
136	1890	5008
137	1902	4990
138	1914	4972
139	1927	4956
140	1939	4939
141	1951	4921
142	1963	4902
143	1977	4887
144	1990	4872
145	2003	4857
146	2016	4841
147	2027	4823
148	2039	4805
149	2051	4787
150	2064	4770
151	2076	4755
152	2089	4738
153	2102	4722
154	2115	4708
155	2128	4692
156	2141	4677
157	2153	4662
158	2167	4647
159	2179	4632
160	2192	4616
161	2204	4599
162	2216	4583
163	2229	4567
164	2242	4552
165	2254	4536
166	2267	4521
167	2280	4505
168	2292	4489
169	2305	4474
170	2317	4458
171	2330	4444
172	2343	4428
173	2355	4413
174	2368	4398
175	2380	4382
176	2393	4367
177	2401	4343
178	2413	4328
179	2425	4312
180	2438	4297
181	2450	4281
182	2463	4267
183	2475	4251
184	2487	4236
185	2500	4221
186	2513	4206
187	2525	4191
188	2537	4176
189	2550	4161
190	2562	4145
191	2574	4129
192	2586	4114
193	2599	4099
194	2611	4084
195	2624	4070
196	2636	4055
197	2648	4040
198	2661	4025
199	2673	4009
200	2685	3995
201	2697	3980
202	2710	3965
203	2722	3949
204	2733	3934
205	2746	3919
206	2758	3904
207	2771	3890
208	2783	3875
209	2796	3861
210	2808	3847
211	2821	3832
212	2833	3818
213	2845	3803
214	2857	3788
215	2870	3774
216	2883	3759
217	2896	3746
218	2909	3732
219	2920	3717
220	2933	3703
221	2946	3689
222	2959	3675
223	2971	3661
224	2983	3646
225	2996	3632
226	3009	3619
227	3022	3605
228	3036	3593
229	3050	3580
230	3066	3570
231	3081	3559
232	3094	3545
233	3106	3531
234	3119	3517
